resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,name,date,circuitRef,country,lat,lng,alt,driverRef,dob,nationality_driver,constructorRef,nationality_constructor,status,driver_age,is_dnf,podium,in_points,driver_standing_pts,driver_standing_pos,driver_wins_so_far,constructor_standing_pts,constructor_standing_pos,constructor_wins_so_far,quali_position,best_quali_sec,quali_gap_to_pole,pit_stop_count
20035,833,660,154,18.0,21,11.0,11,11,0.0,64,,,,,,,16,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,claes,1916-08-11,Belgian,lago,French,+6 Laps,33.8,0,0,0,0.0,12.0,0.0,,,,,,,0
20036,833,579,51,1.0,3,,R,12,0.0,62,,,,,,,44,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,fangio,1911-06-24,Argentine,alfa,Swiss,Oil leak,38.9,1,0,0,0.0,13.0,0.0,,,,,,,0
20037,833,776,126,23.0,19,,,13,0.0,57,,,,,,,62,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,kelly,1913-03-13,Irish,alta,British,Not classified,37.2,1,0,0,0.0,14.0,0.0,,,,,,,0
20038,833,669,105,21.0,5,,R,14,0.0,49,,,,,,,60,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,bira,1914-07-15,Thai,maserati,Italian,Out of fuel,35.8,1,0,0,0.0,15.0,0.0,,,,,,,0
20039,833,747,105,5.0,18,,R,15,0.0,44,,,,,,,5,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,murray,1909-12-28,British,maserati,Italian,Engine,40.4,1,0,0,0.0,16.0,0.0,,,,,,,0
20040,833,785,126,24.0,17,,R,16,0.0,43,,,,,,,7,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,crossley,1921-05-11,British,alta,British,Transmission,29.0,1,0,0,0.0,17.0,0.0,,,,,,,0
20041,833,640,105,20.0,8,,R,17,0.0,36,,,,,,,5,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,graffenried,1914-05-18,Swiss,maserati,Italian,Engine,36.0,1,0,0,0.0,18.0,0.0,,,,,,,0
20042,833,589,105,19.0,11,,R,18,0.0,26,,,,,,,8,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,chiron,1899-08-03,Monegasque,maserati,Italian,Clutch,50.8,1,0,0,0.0,19.0,0.0,,,,,,,0
20043,833,789,154,17.0,7,,R,19,0.0,8,,,,,,,51,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,martin,1915-03-24,French,lago,French,Oil pressure,35.1,1,0,0,0.0,20.0,0.0,,,,,,,0
20044,833,661,151,9.0,10,,R,20,0.0,5,,,,,,,6,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,peter_walker,1912-10-07,British,era,British,Gearbox,37.6,1,0,0,0.0,22.0,0.0,,,,,,,0
20178,833,666,151,9.0,10,,R,20,0.0,5,,,,,,,6,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,rolt,1918-10-16,British,era,British,Gearbox,31.6,1,0,0,0.0,21.0,0.0,,,,,,,0
20045,833,790,151,8.0,12,,R,21,0.0,2,,,,,,,126,1950,1,9,British Grand Prix,1950-05-13,silverstone,UK,52.0786,-1.01694,153,leslie_johnson,1912-03-22,British,era,British,Supercharger,38.1,1,0,0,0.0,23.0,0.0,,,,,,,0
20046,834,579,51,34.0,1,1.0,1,1,9.0,100,3:13:18.7,11598700.0,,,,,1,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,fangio,1911-06-24,Argentine,alfa,Swiss,Finished,38.9,0,1,1,9.0,2.0,1.0,,,,,,,0
20047,834,647,6,40.0,7,2.0,2,2,6.0,99,,,,,,,11,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,ascari,1918-07-13,Italian,ferrari,Italian,+1 Lap,31.9,0,1,1,6.0,4.0,0.0,,,,,,,0
20048,834,589,105,48.0,8,3.0,3,3,4.0,98,,,,,,,12,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,chiron,1899-08-03,Monegasque,maserati,Italian,+2 Laps,50.8,0,1,1,4.0,5.0,0.0,,,,,,,0
20049,834,793,6,42.0,9,4.0,4,4,3.0,97,,,,,,,13,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,sommer,1906-08-31,French,ferrari,Italian,+3 Laps,43.7,0,0,1,3.0,8.0,0.0,,,,,,,0
20050,834,669,105,50.0,15,5.0,5,5,2.0,95,,,,,,,15,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,bira,1914-07-15,Thai,maserati,Italian,+5 Laps,35.8,0,0,1,2.0,10.0,0.0,,,,,,,0
20051,834,619,151,26.0,16,6.0,6,6,0.0,94,,,,,,,16,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,gerard,1914-01-19,British,era,British,+6 Laps,36.3,0,0,0,0.0,11.0,0.0,,,,,,,0
20052,834,660,154,6.0,19,7.0,7,7,0.0,94,,,,,,,16,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,claes,1916-08-11,Belgian,lago,French,+6 Laps,33.8,0,0,0,0.0,12.0,0.0,,,,,,,0
20053,834,633,6,38.0,6,,R,8,0.0,63,,,,,,,109,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,villoresi,1909-05-16,Italian,ferrari,Italian,Axle,41.0,1,0,0,0.0,18.0,0.0,,,,,,,0
20054,834,741,154,14.0,4,,R,9,0.0,38,,,,,,,44,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,etancelin,1896-12-28,French,lago,French,Oil leak,53.4,1,0,0,0.0,14.0,0.0,,,,,,,0
20055,834,498,105,2.0,3,,R,10,0.0,1,,,,,,,3,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,gonzalez,1922-10-05,Argentine,maserati,Italian,Accident,27.6,1,0,0,0.0,19.0,0.0,,,,,,,0
20056,834,642,51,32.0,2,,R,11,0.0,0,,,,,,,3,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,farina,1906-10-30,Italian,alfa,Swiss,Accident,43.6,1,0,0,9.0,1.0,1.0,,,,,,,0
20057,834,786,51,36.0,5,,R,12,0.0,0,,,,,,,3,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,fagioli,1898-06-09,Italian,alfa,Swiss,Accident,51.9,1,0,0,6.0,3.0,0.0,,,,,,,0
20058,834,627,154,16.0,10,,R,13,0.0,0,,,,,,,3,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,rosier,1905-11-05,French,lago,French,Accident,44.5,1,0,0,2.0,9.0,0.0,,,,,,,0
20059,834,626,141,10.0,11,,R,14,0.0,0,,,,,,,3,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,manzon,1917-04-12,French,simca,French,Accident,33.1,1,0,0,0.0,21.0,0.0,,,,,,,0
20060,834,640,105,52.0,12,,R,15,0.0,0,,,,,,,3,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,graffenried,1914-05-18,Swiss,maserati,Italian,Accident,36.0,1,0,0,0.0,22.0,0.0,,,,,,,0
20061,834,427,141,12.0,13,,R,16,0.0,0,,,,,,,3,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,trintignant,1917-10-30,French,simca,French,Accident,32.6,1,0,0,0.0,25.0,0.0,,,,,,,0
20062,834,787,151,24.0,14,,R,17,0.0,0,,,,,,,3,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,harrison,1906-07-06,British,era,British,Accident,43.9,1,0,0,0.0,13.0,0.0,,,,,,,0
20063,834,762,105,44.0,17,,R,18,0.0,0,,,,,,,3,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,rol,1908-06-05,Italian,maserati,Italian,Accident,42.0,1,0,0,0.0,26.0,0.0,,,,,,,0
20064,834,501,87,8.0,20,,R,19,0.0,0,,,,,,,4,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,schell,1921-06-29,American,cooper,British,Collision,28.9,1,0,0,0.0,28.0,0.0,,,,,,,0
20065,834,687,6,28.0,21,,W,20,0.0,0,,,,,,,5,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,whitehead,1914-11-12,British,ferrari,Italian,Engine,35.5,1,0,0,0.0,31.0,0.0,,,,,,,0
20066,834,792,105,4.0,18,,W,21,0.0,0,,,,,,,3,1950,2,6,Monaco Grand Prix,1950-05-21,monaco,Monaco,43.7347,7.42056,7,pian,1912-10-21,Argentine,maserati,Italian,Accident,37.6,1,0,0,0.0,33.0,0.0,,,,,,,0
20067,835,593,113,1.0,5,1.0,1,1,9.0,138,2:46:55.97,10015970.0,,,,,1,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,parsons,1918-07-04,American,kurtis_kraft,American,Finished,31.9,0,1,1,9.0,3.0,1.0,,,,,,,0
20068,835,701,150,3.0,10,2.0,2,2,6.0,137,,,,,,,11,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,holland,1907-12-18,American,deidt,American,+1 Lap,42.4,0,1,1,6.0,6.0,0.0,,,,,,,0
20069,835,768,150,31.0,3,3.0,3,3,4.0,137,,,,,,,11,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,rose,1906-05-26,American,deidt,American,+1 Lap,44.0,0,1,1,4.0,9.0,0.0,,,,,,,0
20070,835,770,113,54.0,12,4.0,4,4,3.0,137,,,,,,,11,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,green,1919-09-30,American,kurtis_kraft,American,+1 Lap,30.7,0,0,1,3.0,11.0,0.0,,,,,,,0
20071,835,794,113,17.0,9,5.0,5,5,1.0,136,,,,,,,12,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,chitwood,1912-04-14,American,kurtis_kraft,American,+2 Laps,38.1,0,0,1,1.0,16.0,0.0,,,,,,,0
20179,835,529,113,17.0,9,5.0,5,5,1.0,136,,,,,,,12,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,bettenhausen,1916-09-12,American,kurtis_kraft,American,+2 Laps,33.7,0,0,1,1.0,15.0,0.0,,,,,,,0
20072,835,766,119,8.0,23,6.0,6,6,0.0,136,,,,,,,12,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,wallard,1910-09-07,American,moore,American,+2 Laps,39.7,0,0,0,0.0,18.0,0.0,,,,,,,0
20073,835,654,113,98.0,1,7.0,7,7,0.0,135,,,,,,,13,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,faulkner,1920-02-16,American,kurtis_kraft,American,+3 Laps,30.3,0,0,0,0.0,21.0,0.0,,,,,,,0
20074,835,726,110,5.0,4,8.0,8,8,0.0,135,,,,,,,13,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,george_connor,1906-08-16,American,lesovsky,American,+3 Laps,43.8,0,0,0,0.0,23.0,0.0,,,,,,,0
20075,835,555,138,7.0,19,9.0,9,9,0.0,135,,,,,,,13,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,paul_russo,1914-04-10,American,nichels,American,+3 Laps,36.1,0,0,0,0.0,25.0,0.0,,,,,,,0
20076,835,559,113,59.0,11,10.0,10,10,0.0,135,,,,,,,13,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,flaherty,1926-01-06,American,kurtis_kraft,American,+3 Laps,24.4,0,0,0,0.0,26.0,0.0,,,,,,,0
20077,835,795,156,2.0,16,11.0,11,11,0.0,133,,,,,,,15,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,fohr,1912-06-17,American,marchese,American,+5 Laps,37.9,0,0,0,0.0,29.0,0.0,,,,,,,0
20078,835,518,129,18.0,13,12.0,12,12,0.0,133,,,,,,,15,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,darter,1913-05-05,American,stevens,American,+5 Laps,37.1,0,0,0,0.0,30.0,0.0,,,,,,,0
20079,835,772,113,15.0,26,13.0,13,13,0.0,132,,,,,,,16,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,hellings,1915-09-14,American,kurtis_kraft,American,+6 Laps,34.7,0,0,0,0.0,31.0,0.0,,,,,,,0
20080,835,658,113,49.0,6,14.0,14,14,0.0,131,,,,,,,20,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,mcgrath,1919-10-08,American,kurtis_kraft,American,Spun off,30.6,1,0,0,0.0,32.0,0.0,,,,,,,0
20081,835,526,110,55.0,24,15.0,15,15,0.0,130,,,,,,,18,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,ruttman,1930-03-11,American,lesovsky,American,+8 Laps,20.2,0,0,0,0.0,33.0,0.0,,,,,,,0
20082,835,520,157,75.0,31,16.0,16,16,0.0,128,,,,,,,88,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,hartley,1926-01-28,American,langley,American,+10 Laps,24.3,1,0,0,0.0,34.0,0.0,,,,,,,0
20083,835,653,116,22.0,27,17.0,17,17,0.0,128,,,,,,,88,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,davies,1929-08-08,American,ewing,American,+10 Laps,20.8,1,0,0,0.0,35.0,0.0,,,,,,,0
20084,835,732,113,62.0,33,18.0,18,18,0.0,128,,,,,,,88,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,mcdowell,1915-01-29,American,kurtis_kraft,American,+10 Laps,35.3,1,0,0,0.0,36.0,0.0,,,,,,,0
20085,835,771,113,4.0,20,19.0,19,19,0.0,127,,,,,,,45,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,walt_brown,1911-12-30,American,kurtis_kraft,American,+11 Laps,38.4,1,0,0,0.0,37.0,0.0,,,,,,,0
20086,835,677,105,21.0,14,20.0,20,20,0.0,126,,,,,,,55,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,webb,1910-10-08,American,maserati,Italian,+12 Laps,39.6,1,0,0,0.0,38.0,0.0,,,,,,,0
20087,835,659,113,81.0,15,21.0,21,21,0.0,125,,,,,,,53,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,hoyt,1929-01-29,American,kurtis_kraft,American,+13 Laps,21.3,1,0,0,0.0,39.0,0.0,,,,,,,0
20088,835,796,158,27.0,29,22.0,22,22,0.0,123,,,,,,,112,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,ader,1913-12-15,American,rae,American,+15 Laps,36.5,1,0,0,0.0,40.0,0.0,,,,,,,0
20089,835,797,159,77.0,30,23.0,23,23,0.0,123,,,,,,,20,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,holmes,1920-09-04,American,olson,American,Spun off,29.7,1,0,0,0.0,41.0,0.0,,,,,,,0
20090,835,509,160,76.0,28,24.0,24,24,0.0,122,,,,,,,116,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,rathmann,1928-07-16,American,wetteroth,American,+16 Laps,21.9,1,0,0,0.0,42.0,0.0,,,,,,,0
20091,835,731,105,12.0,21,,R,25,0.0,112,,,,,,,70,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,banks,1913-06-14,American,maserati,Italian,Oil line,37.0,1,0,0,0.0,67.0,0.0,,,,,,,0
20092,835,729,162,67.0,22,,R,26,0.0,111,,,,,,,7,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,schindler,1909-03-06,American,snowberger,American,Transmission,41.2,1,0,0,0.0,59.0,0.0,,,,,,,0
20093,835,798,161,24.0,17,,R,27,0.0,108,,,,,,,51,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,levrett,1914-02-14,American,adams,American,Oil pressure,36.3,1,0,0,0.0,61.0,0.0,,,,,,,0
20180,835,803,161,24.0,17,,R,27,0.0,108,,,,,,,51,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,cantrell,1908-01-31,American,adams,American,Oil pressure,42.3,1,0,0,0.0,60.0,0.0,,,,,,,0
20094,835,615,113,28.0,2,,R,28,0.0,64,,,,,,,44,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,agabashian,1913-08-21,American,kurtis_kraft,American,Oil leak,36.8,1,0,0,0.0,62.0,0.0,,,,,,,0
20095,835,799,113,61.0,32,,R,29,0.0,52,,,,,,,126,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,jackson,1910-07-25,American,kurtis_kraft,American,Supercharger,39.8,1,0,0,0.0,63.0,0.0,,,,,,,0
20096,835,611,113,23.0,25,,R,30,0.0,42,,,,,,,51,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,hanks,1914-07-13,American,kurtis_kraft,American,Oil pressure,35.9,1,0,0,0.0,64.0,0.0,,,,,,,0
20097,835,529,150,14.0,8,,R,31,0.0,30,,,,,,,67,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,bettenhausen,1916-09-12,American,deidt,American,Wheel bearing,33.7,1,0,0,1.0,15.0,0.0,,,,,,,0
20098,835,537,107,45.0,18,,R,32,0.0,25,,,,,,,85,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,dick_rathmann,1924-01-06,American,watson,American,Stalled,26.4,1,0,0,0.0,65.0,0.0,,,,,,,0
20099,835,630,113,69.0,7,,R,33,0.0,10,,,,,,,44,1950,3,19,Indianapolis 500,1950-05-30,indianapolis,USA,39.795,-86.2347,223,dinsmore,1913-04-10,American,kurtis_kraft,American,Oil leak,37.1,1,0,0,0.0,66.0,0.0,,,,,,,0
20100,836,642,51,16.0,2,1.0,1,1,9.0,42,2:02:53.7,7373700.0,,,,,1,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,farina,1906-10-30,Italian,alfa,Swiss,Finished,43.6,0,1,1,18.0,1.0,2.0,,,,,,,0
20101,836,786,51,12.0,3,2.0,2,2,6.0,42,+0.4,7374100.0,,,,,1,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,fagioli,1898-06-09,Italian,alfa,Swiss,Finished,52.0,0,1,1,12.0,2.0,0.0,,,,,,,0
20102,836,627,154,10.0,10,3.0,3,3,4.0,41,,,,,,,11,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,rosier,1905-11-05,French,lago,French,+1 Lap,44.6,0,1,1,6.0,7.0,0.0,,,,,,,0
20103,836,669,105,30.0,8,4.0,4,4,3.0,40,,,,,,,12,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,bira,1914-07-15,Thai,maserati,Italian,+2 Laps,35.9,0,0,1,5.0,8.0,0.0,,,,,,,0
20104,836,697,105,34.0,12,5.0,5,5,2.0,40,,,,,,,12,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,bonetto,1903-06-09,Italian,maserati,Italian,+2 Laps,47.0,0,0,1,2.0,15.0,0.0,,,,,,,0
20105,836,640,105,32.0,11,6.0,6,6,0.0,40,,,,,,,12,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,graffenried,1914-05-18,Swiss,maserati,Italian,+2 Laps,36.0,0,0,0,0.0,19.0,0.0,,,,,,,0
20106,836,800,105,2.0,15,7.0,7,7,0.0,39,,,,,,,13,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,pagani,1911-10-11,Italian,maserati,Italian,+3 Laps,38.6,0,0,0,0.0,24.0,0.0,,,,,,,0
20107,836,501,154,44.0,18,8.0,8,8,0.0,39,,,,,,,13,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,schell,1921-06-29,American,lago,French,+3 Laps,28.9,0,0,0,0.0,26.0,0.0,,,,,,,0
20108,836,589,105,26.0,16,9.0,9,9,0.0,39,,,,,,,13,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,chiron,1899-08-03,Monegasque,maserati,Italian,+3 Laps,50.8,0,0,0,4.0,9.0,0.0,,,,,,,0
20109,836,660,154,4.0,14,10.0,10,10,0.0,38,,,,,,,14,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,claes,1916-08-11,Belgian,lago,French,+4 Laps,33.8,0,0,0,0.0,21.0,0.0,,,,,,,0
20110,836,780,105,40.0,17,11.0,11,11,0.0,35,,,,,,,17,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,branca,1916-09-15,Swiss,maserati,Italian,+7 Laps,33.7,0,0,0,0.0,33.0,0.0,,,,,,,0
20111,836,579,51,14.0,1,,R,12,0.0,32,,,,,,,5,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,fangio,1911-06-24,Argentine,alfa,Swiss,Engine,38.9,1,0,0,9.0,3.0,1.0,,,,,,,0
20112,836,741,154,42.0,6,,R,13,0.0,25,,,,,,,6,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,etancelin,1896-12-28,French,lago,French,Gearbox,53.4,1,0,0,0.0,25.0,0.0,,,,,,,0
20113,836,789,154,8.0,9,,R,14,0.0,19,,,,,,,3,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,martin,1915-03-24,French,lago,French,Accident,35.2,1,0,0,0.0,51.0,0.0,,,,,,,0
20114,836,793,6,20.0,13,,R,15,0.0,19,,,,,,,22,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,sommer,1906-08-31,French,ferrari,Italian,Suspension,43.8,1,0,0,3.0,12.0,0.0,,,,,,,0
20115,836,633,6,22.0,4,,R,16,0.0,9,,,,,,,5,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,villoresi,1909-05-16,Italian,ferrari,Italian,Engine,41.1,1,0,0,0.0,48.0,0.0,,,,,,,0
20116,836,647,6,18.0,5,,R,17,0.0,4,,,,,,,94,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,ascari,1918-07-13,Italian,ferrari,Italian,Oil pump,31.9,1,0,0,6.0,5.0,0.0,,,,,,,0
20117,836,704,154,6.0,7,,R,18,0.0,0,,,,,,,3,1950,4,66,Swiss Grand Prix,1950-06-04,bremgarten,Switzerland,46.9589,7.40194,551,cabantous,1904-10-08,French,lago,French,Accident,45.7,1,0,0,3.0,13.0,0.0,,,,,,,0
